Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
1,Wii Sports,Nintendo,Nintendo EAD,Wii,2006,Sports,41.36,29.02,3.77,8.51,82.65
2,Super Mario Bros.,Nintendo,Nintendo EAD,NES,1985,Platform,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Nintendo,Nintendo EAD,Wii,2008,Racing,15.91,12.92,3.8,3.35,35.98
4,Wii Sports Resort,Nintendo,Nintendo EAD,Wii,2009,Sports,15.61,10.99,3.29,3.02,32.9
5,Pokémon Red / Green / Blue Version,Nintendo,Game Freak,GB,1998,Role-Playing,11.27,8.89,10.22,1.0,31.37
6,Tetris,Nintendo,Bullet Proof Software,GB,1989,Puzzle,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,Nintendo,Nintendo EAD,DS,2006,Platform,11.28,9.19,6.5,2.89,29.85
8,Wii Play,Nintendo,Nintendo EAD,Wii,2007,Misc,13.96,9.18,2.93,2.85,28.92
9,New Super Mario Bros. Wii,Nintendo,Nintendo EAD,Wii,2009,Platform,14.53,7.01,4.7,2.27,28.51
10,Duck Hunt,Nintendo,Nintendo R&D1,NES,1985,Shooter,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,Nintendo,Nintendo EAD,DS,2005,Simulation,9.05,10.96,1.93,2.74,24.68
12,Mario Kart DS,Nintendo,Nintendo EAD,DS,2005,Racing,9.71,7.51,4.13,1.91,23.26
13,Pokémon Gold / Silver Version,Nintendo,Game Freak,GB,2000,Role-Playing,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,Nintendo,Nintendo EAD,Wii,2008,Sports,8.92,8.03,3.6,2.15,22.7
15,Kinect Adventures!,Microsoft Game Studios,Good Science Studio,X360,2010,Party,15.09,4.97,0.24,1.81,22.1
16,Wii Fit Plus,Nintendo,Nintendo EAD,Wii,2009,Sports,9.01,8.51,2.53,1.76,21.81
17,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar North,PS2,2004,Action,9.43,0.4,0.41,10.57,20.81
18,Super Mario World,Nintendo,Nintendo EAD,SNES,1991,Platform,12.78,3.75,3.54,0.55,20.61
19,Grand Theft Auto V,Rockstar Games,Rockstar North,PS3,2013,Action,6.37,9.85,0.99,3.12,20.32
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo,Nintendo SDD,DS,2006,Misc,4.74,9.21,4.16,2.04,20.16
21,Grand Theft Auto V,Rockstar Games,Rockstar North,PS4,2014,Action,6.06,9.71,0.6,3.02,19.39
22,Pokémon Diamond / Pearl Version,Nintendo,Game Freak,DS,2007,Role-Playing,6.38,4.47,6.04,1.36,18.25
23,Super Mario Land,Nintendo,Nintendo R&D1,GB,1989,Platform,10.83,2.71,4.18,0.42,18.14
24,Super Mario Bros. 3,Nintendo,Nintendo R&D2,NES,1990,Platform,9.54,3.44,3.84,0.46,17.28
25,Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,PS2,2002,Action,8.41,5.49,0.47,1.78,16.15
26,Pokémon X/Y,Nintendo,Game Freak,3DS,2013,Role-Playing,5.68,5.06,4.4,0.99,16.13
27,Grand Theft Auto V,Rockstar Games,Rockstar North,X360,2013,Action,9.06,5.33,0.06,1.42,15.86
28,Pokémon Ruby / Sapphire Version,Nintendo,Game Freak,GBA,2003,Role-Playing,6.06,3.9,5.38,0.5,15.85
29,Mario Kart 7,Nintendo,Nintendo EAD / Retro Studios,3DS,2011,Racing,6.03,5.35,3.0,1.11,15.49
